call_path,frequency,frequency_percentage,mean_duration,max_duration,p50_duration,p90_duration,p95_duration,p99_duration
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server->[text-service] compose_urls_client->[url-shorten-service] compose_urls_server->[url-shorten-service] url_mongo_insert_client,8719,87.19,839.6386053446496,3743.0,819.0,1258.0,1364.0,1902.4599999999991
[user-mention-service] compose_user_mentions_server->[user-mention-service] compose_user_mentions_memcached_get_client,603,6.03,843.4560530679934,1844.0,706.0,1289.8000000000002,1390.4999999999995,1539.0
[user-mention-service] compose_user_mentions_server,603,6.03,1745.4378109452737,4234.0,1631.0,2582.0,2727.1,3029.0
[user-mention-service] compose_user_mentions_server->[user-mention-service] compose_user_mentions_mongo_find_client,603,6.03,795.4228855721393,2285.0,848.0,1198.2000000000003,1250.0,1359.7600000000002
[url-shorten-service] compose_urls_server,400,4.0,1115.0,4932.0,1132.5,1691.1999999999998,1884.0,2134.13
[url-shorten-service] compose_urls_server->[url-shorten-service] url_mongo_insert_client,400,4.0,895.1225,3859.0,978.0,1276.1,1377.3999999999996,1536.02
[media-service] compose_media_server,336,3.36,78.5922619047619,184.0,67.5,130.5,140.0,164.94999999999993
[home-timeline-service] write_home_timeline_redis_update_client,268,2.68,35.014925373134325,74.0,32.0,49.30000000000001,53.64999999999998,65.0
[unique-id-service] compose_unique_id_server,185,1.8499999999999999,48.08108108108108,171.0,40.0,68.19999999999999,115.0,142.4799999999999
[post-storage-service] store_post_server->[post-storage-service] post_storage_mongo_insert_client,154,1.54,1050.7662337662337,2020.0,1032.5,1235.0,1260.8,1296.29
[post-storage-service] store_post_server,154,1.54,1194.4285714285713,2252.0,1175.0,1384.5,1447.7,1485.94
[user-service] compose_creator_server,144,1.44,36.65277777777778,108.0,32.0,51.70000000000002,62.849999999999994,101.57
[user-timeline-service] write_user_timeline_server->[user-timeline-service] write_user_timeline_redis_update_client,122,1.22,287.28688524590166,732.0,258.0,415.9,549.7499999999997,674.0699999999997
[user-timeline-service] write_user_timeline_server->[user-timeline-service] write_user_timeline_mongo_insert_client,122,1.22,1247.72131147541,1650.0,1288.0,1496.3000000000002,1536.8,1617.4399999999996
[user-timeline-service] write_user_timeline_server,122,1.22,1621.016393442623,2477.0,1639.0,1883.9,2017.1999999999998,2349.1299999999997
[home-timeline-service] write_home_timeline_server->[home-timeline-service] get_followers_client,113,1.13,2208.1858407079644,2929.0,2228.0,2578.4,2696.8,2799.04
[home-timeline-service] write_home_timeline_server,113,1.13,2508.902654867257,3211.0,2526.0,2896.8,3034.8,3160.76
